,s1_1,s2_1,s1_2,s2_2,s1_3,s2_3
137,0.5565565565565566,0.5575565565565566,1.98998998998999,1.9909899899899899,,1.5661741741741741
138,0.5525525525525525,0.5535525525525525,1.985985985985986,1.986985985985986,,1.558168168168168
139,0.5485485485485485,0.5495485485485485,1.981981981981982,1.9829819819819818,,1.5541651651651651
140,0.5445445445445445,0.5455445445445445,1.977977977977978,1.978977977977978,,1.546159159159159
141,0.5405405405405406,0.5415405405405406,1.973973973973974,1.9749739739739738,,1.542156156156156
142,0.5365365365365365,0.5375365365365365,1.96996996996997,1.9709699699699699,,1.5381531531531532
143,0.5325325325325325,0.5335325325325325,1.9659659659659658,1.9669659659659657,,1.530147147147147
144,0.5285285285285285,0.5295285285285285,1.961961961961962,1.9629619619619618,,1.5261441441441441
145,0.5245245245245245,0.5255245245245245,1.957957957957958,1.958957957957958,,1.518138138138138
146,0.5205205205205206,0.5215205205205206,1.9539539539539539,1.9549539539539538,,1.514135135135135
147,0.5165165165165165,0.5175165165165165,1.94994994994995,1.9509499499499499,,1.506129129129129
148,0.5125125125125125,0.5135125125125125,1.9459459459459458,1.9469459459459457,,1.502126126126126
