,s0,s1,Nβ0,Nβ1,mu,R,delta,L_tilde,r_tilde,u_tilde,s_tilde_approx,L_stilde_approx,L_stilde_error
537,0.8467693538707741,0.8477693538707741,3.1719490304089266,3.171948145958742,-0.4627313656828414,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,1.6606776606776605,0.14420708482912423,0.03309597371801315
4060,2.1232246449289858,,0.8999999347419777,,-0.9399699849924964,0.4,0.5,0.33333333333333326,0.7,0.3777777777777777,2.123006123006123,0.33333320858131293,1.2475202032513621e-07
6578,1.95999199839968,,0.5333333259384576,,-0.4217108554277139,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,1.96022196022196,0.7499999708431201,2.9156879799430158e-08
1130,0.0,,2.001740195894611,,0.1305652826413206,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,4.0,0.14979372861950396,0.038682617508392886
7373,1.263252650530106,,0.5333333333329202,,0.3736868434217106,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,1.2632492632492631,0.7499999494577891,5.054221074995979e-08
941,0.0,0.001,2.2175804096476743,2.2175370960132934,-0.0585292646323162,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,4.0,0.14976958508142799,0.03865847397031691
1470,0.0,,1.7189803878318068,,0.4707353676838417,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,4.0,0.1499029700354242,0.03879185892431311
2964,0.0,0.001,1.6738039747006008,1.6737317513079353,-0.0355177588794397,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,4.0,0.2870417113779218,0.06481948915569954
5842,0.0,0.001,0.8139648389922303,0.8138802367714282,0.8429214607303649,0.4,0.5,0.33333333333333326,0.7,0.3777777777777777,4.0,0.37798357527288307,0.044650241939549806
4779,,1.152246449289858,,0.8999999999112172,-0.2206103051525763,0.4,0.5,0.33333333333333326,0.7,0.3777777777777777,1.1522651522651521,0.3333332980083957,3.5324937586178606e-08
2929,0.0,0.001,1.6984747331402374,1.698420027082485,-0.070535267633817,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,4.0,0.2870379313186076,0.06481570909638537
5307,0.0,0.001,0.8830791771170681,0.8830367337532355,0.3076538269134565,0.4,0.5,0.33333333333333326,0.7,0.3777777777777777,4.0,0.3778033894075787,0.04447005607424542
2493,0.6013202640528106,0.6023202640528106,2.0211915164952328,2.021191489535652,-0.5067533766883442,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,0.6578606578606578,0.22901761769132145,0.0067953954690992135
555,0.8335667133426685,0.8345667133426685,3.112777148560172,3.1127762476458063,-0.4447223611805904,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,1.7279257279257279,0.1452046398007555,0.03409352868964441
7798,0.997999599919984,0.998999599919984,0.5333333332808714,0.5333333152689546,0.7988994497248623,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,0.9979409979409979,0.7499998626787052,1.373212946687019e-07
7918,0.9373874774954992,0.9383874774954992,0.5333333332659053,0.5333333201193524,0.9189594797398696,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,0.9373089373089373,0.7499998748066432,1.2519335668148557e-07
6336,2.198839767953591,,0.5333333286097532,,-0.6638319159579791,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,2.199018199018199,0.7499998070302746,1.9296972531002154e-07
3497,0.0,,1.3697906531668291,,0.4977488744372185,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,4.0,0.2871650241483707,0.06494280192614846
6854,1.6965393078615725,,0.5333333333318371,,-0.1455727863931967,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,1.6965416965416964,0.7499998859747832,1.140252167131095e-07
908,0.0,0.001,2.260379696669476,2.2603685714527124,-0.0915457728864432,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,4.0,0.14976641921108969,0.03865530809997861
4907,0.7585517103420684,0.7595517103420684,0.8999999958083613,0.8999998974596027,-0.0925462731365683,0.4,0.5,0.33333333333333326,0.7,0.3777777777777777,0.7582967582967582,0.3333332697112392,6.362209403754093e-08
1216,0.0,,1.9185658599034867,,0.2166083041520758,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,4.0,0.14981046522410885,0.03869935411299777
2162,,1.5343954790958192,,2.0249999403665373,-0.8379189594797398,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,1.5345535345535344,0.22222216570039227,5.652182996640498e-08
2912,0.0,0.001,1.7106015700333477,1.7105556365087289,-0.08754377188594298,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,3.8080798080798077,0.28703588724319506,0.06481366502097283
6742,1.8015603120624124,,0.5333333223340189,,-0.2576288144072036,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,1.8018498018498017,0.7499998672455712,1.3275442867222154e-07
6099,2.4352870574114824,,0.5333333333333262,,-0.9009504752376188,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,2.435286435286435,0.7499999604452633,3.955473659722486e-08
1790,0.0,,1.5452641178387927,,0.7908954477238619,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,4.0,0.15022195175471542,0.039110840643604344
3298,0.0,,1.4662288358093658,,0.2986493246623309,0.1,0.2,0.22222222222222224,0.55,0.2870370370370371,4.0,0.287094523440079,0.06487230121785678
6698,1.8441688337667528,,0.5333333257217961,,-0.3016508254127064,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,1.8439298439298437,0.7500000166569336,1.665693372121524e-08
427,0.9061812362472494,0.9071812362472494,3.5406613071315287,3.5406607097668457,-0.5727863931965984,0.1,0.15,0.11111111111111108,0.55,0.14975845410628016,1.3415933415933414,0.13601116399436547,0.024900052883254392
6291,2.24384876975395,,0.5333333325641609,,-0.7088544272136068,0.2,0.5,0.7499999999999999,0.6,0.7999999999999999,2.2437742437742436,0.7499998197373643,1.802626355962289e-07
5155,0.0,0.001,0.8968803530335147,0.8968645358601331,0.1555777888944471,0.4,0.5,0.33333333333333326,0.7,0.3777777777777777,4.0,0.377787272310397,0.044453938977063734
